"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"a","article","A1","一个（用于辅音音素前）","I have a cat.","What does 'a' mean before a noun?"
"an","article","A1","一个（用于元音音素前）","I have an apple.","When do you use 'an' instead of 'a'?"
"about","prep., adv.","A1","关于；大约","Tell me about your family.","What does 'about' mean in different contexts?"
"above","prep., adv.","A1","在...上面","The picture is above the table.","What is the opposite of 'above'?"
"across","prep., adv.","A1","穿过；在...对面","Walk across the street.","How do you use 'across' in a sentence?"
"action","n.","A1","行动；动作","Running is a good action for health.","Can you think of three different actions?"
"activity","n.","A1","活动","Swimming is my favorite activity.","What activity do you enjoy most?"
"actor","n.","A1","演员（男）","He is a famous actor.","Name an actor you know."
"actress","n.","A1","演员（女）","She is a talented actress.","What is the difference between actor and actress?"
"add","v.","A1","添加；增加","Add sugar to the coffee.","How do you add numbers?"
"address","n.","A1","地址","What is your home address?","Why do we need addresses?"
"adult","n.","A1","成年人","She is an adult now.","At what age do you become an adult?"
"advice","n.","A1","建议","Can you give me some advice?","What advice would you give a friend?"
"afraid","adj.","A1","害怕的","I am afraid of spiders.","What are you afraid of?"
"after","prep.","A1","在...之后","We eat after work.","What do you do after school?"
"afternoon","n.","A1","下午","Good afternoon!","What time does afternoon start?"
"again","adv.","A1","再一次","Please say it again.","When do you use the word 'again'?"
"age","n.","A1","年龄","What is your age?","At what age can people drive?"
"ago","adv.","A1","...以前","I saw him two days ago.","What did you do one hour ago?"
"agree","v.","A1","同意","I agree with you.","When do people say 'I agree'?"
"air","n.","A1","空气","Fresh air is good for health.","Why do we need clean air?"
"airport","n.","A1","机场","The airport is very busy.","What do people do at an airport?"
"all","det., pron.","A1","所有的","All students like holidays.","What does 'all' mean?"
"also","adv.","A1","也","I also like pizza.","How do you use 'also' in a sentence?"
"always","adv.","A1","总是","I always brush my teeth.","What do you always do every day?"
"amazing","adj.","A1","令人惊奇的","The movie was amazing!","What is something amazing you have seen?"
"and","conj.","A1","和；并且","I like cats and dogs.","How do you connect two ideas with 'and'?"
"angry","adj.","A1","生气的","He is angry about the news.","What makes you angry?"
"animal","n.","A1","动物","The lion is a wild animal.","What is your favorite animal?"
"another","det./pron.","A1","另一个","Can I have another apple?","When do you use 'another'?"
"answer","n., v.","A1","答案；回答","What is the answer to this question?","How do you answer a phone?"
"any","det., pron.","A1","任何的；一些","Do you have any questions?","When do you use 'any' instead of 'some'?"
"anyone","pron.","A1","任何人","Can anyone help me?","What does 'anyone' mean?"
"anything","pron.","A1","任何事物","I don't want anything.","How is 'anything' different from 'something'?"
"apartment","n.","A1","公寓","I live in a small apartment.","What is the difference between apartment and house?"
"apple","n.","A1","苹果","This apple is red and sweet.","What color can apples be?"
"April","n.","A1","四月","My birthday is in April.","What season is April in?"
"area","n.","A1","地区；面积","This is a quiet area.","What area do you live in?"
"arm","n.","A1","手臂","I hurt my arm playing tennis.","How many arms does a person have?"
"around","prep., adv.","A1","在...周围","There are trees around the house.","What is around your school?"
"arrive","v.","A1","到达","The train will arrive at 3 PM.","What time do you arrive at school?"
"art","n.","A1","艺术","I love modern art.","What kind of art do you like?"
"article","n.","A1","文章；冠词","I read an interesting article.","What articles are there in English?"
"artist","n.","A1","艺术家","She is a talented artist.","Name a famous artist you know."
"as","prep.","A1","作为；当...时","I work as a teacher.","How do you use 'as' in a sentence?"
"ask","v.","A1","问；要求","Can I ask you a question?","What do you ask your teacher?"
"at","prep.","A1","在（地点/时间）","I am at home.","When do you use 'at' with time?"
"August","n.","A1","八月","August is very hot.","What do you do in August?"
"aunt","n.","A1","姑姑；阿姨","My aunt lives in Beijing.","How many aunts do you have?"
"autumn","n.","A1","秋天","Leaves fall in autumn.","What happens in autumn?"
"away","adv.","A1","离开；远离","Please go away.","What does 'far away' mean?"
"baby","n.","A1","婴儿","The baby is sleeping.","What do babies need?"
"back","n., adv.","A1","背部；回来","I hurt my back.","When do you say 'come back'?"
"bad","adj.","A1","坏的","This is bad weather.","What is the opposite of 'bad'?"
"bag","n.","A1","包；袋子","I carry my books in a bag.","What do you put in your bag?"
"ball","n.","A1","球","Let's play with the ball.","What sports use a ball?"
"banana","n.","A1","香蕉","Bananas are yellow.","What color are bananas?"
"band","n.","A1","乐队","My favorite band is playing tonight.","Do you like any music bands?"
"bank (money)","n.","A1","银行","I need to go to the bank.","What do people do at a bank?"
"bath","n.","A1","洗澡；浴缸","I take a bath every evening.","How often do you take a bath?"
"bathroom","n.","A1","浴室；洗手间","The bathroom is upstairs.","What is in a bathroom?"
"be","v., auxiliary v.","A1","是；存在","I am happy.","How do you use 'be' in sentences?"
"beach","n.","A1","海滩","We go to the beach in summer.","What do you do at the beach?"
"beautiful","adj.","A1","美丽的","The flowers are beautiful.","What is beautiful to you?"
"because","conj.","A1","因为","I study because I want to learn.","When do you use 'because'?"
"become","v.","A1","变成；成为","I want to become a doctor.","What do you want to become?"
"bed","n.","A1","床","I sleep in my bed.","What time do you go to bed?"
"bedroom","n.","A1","卧室","My bedroom is small.","What is in your bedroom?"
"beer","n.","A1","啤酒","Adults drink beer.","What do children drink instead of beer?"
"before","prep.","A1","在...之前","Wash hands before eating.","What do you do before school?"
"begin","v.","A1","开始","Let's begin the lesson.","When does your day begin?"
"beginning","n.","A1","开始；开端","This is the beginning of the story.","What is at the beginning of a book?"
"behind","prep., adv.","A1","在...后面","The cat is behind the sofa.","What is behind your house?"
"believe","v.","A1","相信","I believe in you.","What do you believe in?"
"below","adv., prep.","A1","在...下面","The answers are below.","What is below your feet?"
"best","adj.","A1","最好的","This is the best pizza.","What is your best subject?"
"better","adj.","A1","更好的","This book is better than that one.","How can you become better at English?"
"between","prep.","A1","在...之间","I sit between my friends.","What is between Monday and Wednesday?"
"bicycle","n.","A1","自行车","I ride my bicycle to school.","Do you have a bicycle?"
"big","adj.","A1","大的","That is a big house.","What is the opposite of 'big'?"
"bike","n.","A1","自行车","My bike is red.","How is 'bike' different from 'bicycle'?"
